date,avg
2014-12-18,34.00
2014-12-19,32.00
2014-12-21,33.00
2014-12-22,33.00
2014-12-23,41.00
2014-12-24,38.00
2014-12-25,44.00
2014-12-26,42.00
2014-12-27,43.00
2014-12-28,48.00
2014-12-29,45.00
2014-12-30,43.00
2014-12-31,43.00
2015-01-01,37.00
2015-01-02,38.00
2015-01-03,43.00
2015-01-04,35.00
2015-01-05,28.00
2015-01-06,27.00
2015-01-07,28.00
2015-01-08,23.00
2015-01-09,23.00
2015-01-11,19.00
2015-01-12,20.00
2015-01-13,22.00
2015-01-14,22.00
2015-01-15,28.00
2015-01-16,30.00
2015-01-17,28.00
2015-01-18,28.00
2015-01-19,20.00
2015-01-20,20.00
2015-01-21,24.00
2015-01-22,26.00
2015-01-23,26.00
2015-01-25,21.00
2015-01-26,22.00
2015-01-27,20.00
2015-01-28,18.00
2015-01-29,18.00
2015-01-31,16.00
2015-02-01,28.00
2015-02-02,23.00
2015-02-03,22.00
2015-02-04,22.00
2015-02-05,24.00
2015-02-06,22.00
2015-02-07,22.00
2015-02-08,22.00
2015-02-09,23.00
2015-02-10,23.00
2015-02-11,23.00
2015-02-12,22.00
2015-02-13,22.00
2015-02-14,18.00
2015-02-15,19.00
2015-02-16,18.00
2015-02-18,16.00
2015-02-19,17.00
2015-02-20,16.00
2015-02-22,17.00
2015-02-23,17.00
2015-02-24,12.00
2015-02-25,15.00
2015-02-26,10.00
2015-02-27,9.00
2015-03-01,11.00
2015-03-02,18.00
2015-03-03,23.00
2015-03-06,22.00
2015-03-09,13.00
2015-03-10,12.00
2015-03-11,12.00
2015-03-12,15.00
2015-03-13,15.00
2015-03-14,18.00
2015-03-15,18.00
2015-03-16,18.00
2015-03-17,17.00
2015-03-18,17.00
2015-03-19,16.00
2015-03-20,17.00
2015-03-21,18.00
2015-03-22,17.00
2015-03-23,18.00
2015-03-24,18.00
2015-03-25,17.00
2015-03-26,18.00
2015-03-27,14.00
2015-03-28,16.00
2015-03-29,11.00
2015-03-30,11.00
2015-03-31,16.00
2015-04-01,13.00
2015-04-02,12.00
2015-04-03,23.00
2015-04-04,22.00
2015-04-05,22.00
2015-04-06,24.00
2015-04-07,26.00
2015-04-08,33.00
2015-04-10,33.00
2015-04-12,33.00
2015-04-13,38.00
2015-04-14,33.00
2015-04-15,29.00
2015-04-16,28.00
2015-04-17,28.00
2015-04-18,23.00
2015-04-19,23.00
2015-04-20,21.00
2015-04-21,21.00
2015-04-22,19.00
2015-04-23,17.00
2015-04-24,22.00
2015-04-25,20.00
2015-04-26,33.00
2015-04-27,33.00
2015-04-28,33.00
2015-04-29,57.00
2015-04-30,19.00
2015-05-01,22.00
2015-05-02,11.00
2015-05-03,11.00
2015-05-04,19.00
2015-05-05,21.00
2015-05-06,21.00
2015-05-07,21.00
2015-05-08,21.00
2015-05-10,21.00
2015-05-11,21.00
2015-05-12,22.00
2015-05-13,20.00
2015-05-14,23.00
2015-05-15,20.00
2015-05-16,17.00
2015-05-17,17.00
2015-05-18,18.00
2015-05-19,20.00
2015-05-20,21.00
2015-05-21,19.00
2015-05-22,17.00
2015-05-23,16.00
2015-05-24,18.00
2015-05-25,19.00
2015-05-26,19.00
2015-05-27,19.00
2015-05-28,23.00
2015-05-29,27.00
2015-05-30,30.00
2015-05-31,33.00
2015-06-01,30.00
2015-06-02,33.00
2015-06-03,38.00
2015-06-04,43.00
2015-06-05,43.00
2015-06-06,40.00
2015-06-07,40.00
2015-06-08,53.00
2015-06-09,63.00
2015-06-10,53.00
2015-06-11,53.00
2015-06-12,53.00
2015-06-13,60.00
2015-06-14,53.00
2015-06-15,53.00
2015-06-16,50.00
2015-06-17,51.00
2015-06-18,48.00
2015-06-19,47.00
2015-06-20,52.00
2015-06-21,50.00
2015-06-22,43.00
2015-06-23,43.00
2015-06-24,48.00
2015-06-25,38.00
2015-06-26,43.00
2015-06-27,51.00
2015-06-28,43.00
2015-06-29,55.00
2015-06-30,55.00
2015-07-01,55.00
2015-07-02,55.00
2015-07-03,55.00
2015-07-04,62.00
2015-07-05,55.00
2015-07-06,55.00
2015-07-07,55.00
2015-07-08,60.00
2015-07-09,55.00
2015-07-10,55.00
2015-07-11,61.00
2015-07-12,55.00
2015-07-13,55.00
2015-07-14,55.00
2015-07-15,55.00
2015-07-16,55.00
2015-07-17,55.00
2015-07-18,60.00
2015-07-19,55.00
2015-07-20,55.00
2015-07-21,65.00
2015-07-22,55.00
2015-07-23,45.00
2015-07-24,45.00
2015-07-25,49.00
2015-07-26,55.00
2015-07-27,45.00
2015-07-28,45.00
2015-07-29,55.00
2015-07-30,45.00
2015-07-31,45.00
2015-08-01,57.00
2015-08-02,55.00
2015-08-03,45.00
2015-08-04,45.00
2015-08-05,45.00
2015-08-06,45.00
2015-08-07,45.00
2015-08-08,48.00
2015-08-09,35.00
2015-08-10,35.00
2015-08-11,35.00
2015-08-12,35.00
2015-08-13,45.00
2015-08-14,35.00
2015-08-15,40.00
2015-08-16,35.00
2015-08-17,35.00
2015-08-18,45.00
2015-08-19,55.00
2015-08-20,48.00
2015-08-21,48.00
2015-08-22,47.00
2015-08-23,45.00
2015-08-24,45.00
2015-08-25,55.00
2015-08-26,55.00
2015-08-27,55.00
2015-08-28,55.00
2015-08-29,64.00
2015-08-30,66.00
2015-08-31,55.00
2015-09-01,45.00
2015-09-02,45.00
2015-09-03,55.00
2015-09-04,55.00
2015-09-05,55.00
2015-09-06,55.00
2015-09-07,65.00
2015-09-08,65.00
2015-09-09,55.00
2015-09-10,55.00
2015-09-11,55.00
2015-09-12,57.00
2015-09-13,55.00
2015-09-14,65.00
2015-09-15,55.00
2015-09-16,38.00
2015-09-17,55.00
2015-09-18,55.00
2015-09-19,41.00
2015-09-20,45.00
2015-09-21,45.00
2015-09-22,45.00
2015-09-23,45.00
2015-09-24,38.00
2015-09-25,38.00
2015-09-26,40.00
2015-09-27,42.00
2015-09-28,38.00
2015-09-29,42.00
2015-09-30,45.00
2015-10-01,45.00
2015-10-02,45.00
2015-10-03,44.00
2015-10-04,45.00
2015-10-05,45.00
2015-10-06,45.00
2015-10-07,55.00
2015-10-08,55.00
2015-10-09,55.00
2015-10-10,57.00
2015-10-11,38.00
2015-10-12,45.00
2015-10-13,48.00
2015-10-14,45.00
2015-10-15,38.00
2015-10-16,35.00
2015-10-17,49.00
2015-10-18,45.00
2015-10-19,45.00
2015-10-20,37.00
2015-10-21,45.00
2015-10-22,55.00
2015-10-23,55.00
2015-10-24,35.00
2015-10-25,35.00
2015-10-26,34.00
2015-10-27,25.00
2015-10-28,25.00
2015-10-29,25.00
2015-10-30,45.00
2015-10-31,32.00
2015-11-01,25.00
2015-11-02,25.00
2015-11-03,25.00
2015-11-04,25.00
2015-11-05,25.00
2015-11-06,28.00
2015-11-07,28.00
2015-11-08,25.00
2015-11-09,25.00
2015-11-10,28.00
2015-11-11,33.00
2015-11-12,28.00
2015-11-13,37.00
2015-11-14,39.00
2015-11-15,35.00
2015-11-16,28.00
2015-11-17,25.00
2015-11-18,25.00
2015-11-19,22.00
2015-11-20,22.00
2015-11-21,20.00
2015-11-22,25.00
2015-11-23,25.00
2015-11-24,25.00
2015-11-25,25.00
2015-11-26,25.00
2015-11-27,25.00
2015-11-28,26.00
2015-11-29,18.00
2015-11-30,22.00
2015-12-01,20.00
2015-12-02,22.00
2015-12-03,22.00
2015-12-04,22.00
2015-12-05,25.00
2015-12-06,33.00
2015-12-07,28.00
2015-12-08,28.00
2015-12-09,28.00
2015-12-10,33.00
2015-12-11,33.00
2015-12-12,31.00
2015-12-13,25.00
2015-12-14,28.00
2015-12-15,33.00
2015-12-16,35.00
2015-12-17,35.00
2015-12-18,35.00
2015-12-19,30.00
2015-12-20,32.00
2015-12-21,29.00
2015-12-22,30.00
2015-12-23,45.00
2015-12-24,45.00
2015-12-25,45.00
2015-12-26,55.00
2015-12-27,55.00
2015-12-28,63.00
2015-12-29,55.00
2015-12-30,49.00
2015-12-31,55.00
2016-01-01,45.00
2016-01-02,40.00
2016-01-03,42.00
2016-01-04,35.00
2016-01-05,28.00
2016-01-06,25.00
2016-01-07,25.00
2016-01-08,28.00
2016-01-09,25.00
2016-01-10,25.00
2016-01-11,25.00
2016-01-12,22.00
2016-01-13,30.00
2016-01-14,24.00
2016-01-15,25.00
2016-01-16,25.00
2016-01-17,25.00
2016-01-18,25.00
2016-01-19,25.00
2016-01-20,25.00
2016-01-21,25.00
2016-01-22,28.00
2016-01-23,30.00
2016-01-24,22.00
2016-01-25,28.00
2016-01-26,25.00
2016-01-27,30.00
2016-01-28,22.00
2016-01-29,28.00
2016-01-30,34.00
2016-01-31,28.00
2016-02-01,28.00
2016-02-02,25.00
2016-02-03,28.00
2016-02-04,28.00
2016-02-05,28.00
2016-02-06,32.00
2016-02-07,22.00
2016-02-08,22.00
2016-02-09,21.00
2016-02-10,22.00
2016-02-11,22.00
2016-02-12,23.00
2016-02-13,27.00
2016-02-14,22.00
2016-02-15,23.00
2016-02-16,22.00
2016-02-17,30.00
2016-02-18,33.00
2016-02-19,33.00
2016-02-20,32.00
2016-02-21,35.00
2016-02-22,28.00
2016-02-23,28.00
2016-02-24,28.00
2016-02-25,28.00
2016-02-26,28.00
2016-02-27,28.00
2016-02-28,33.00
2016-02-29,35.00
2016-03-01,28.00
2016-03-02,28.00
2016-03-04,33.00
2016-03-05,35.00
2016-03-06,33.00
2016-03-07,35.00
2016-03-08,33.00
2016-03-09,33.00
2016-03-10,33.00
2016-03-11,35.00
2016-03-12,30.00
2016-03-13,30.00
2016-03-15,28.00
2016-03-16,28.00
2016-03-17,28.00
2016-03-18,33.00
2016-03-19,33.00
2016-03-20,45.00
2016-03-21,45.00
2016-03-22,45.00
2016-03-23,45.00
2016-03-24,45.00
2016-03-25,38.00
2016-03-26,40.00
2016-03-27,45.00
2016-03-28,42.00
2016-03-29,38.00
2016-03-30,42.00
2016-03-31,52.00
2016-04-01,45.00
2016-04-02,50.00
2016-04-03,52.00
2016-04-04,51.00
2016-04-05,55.00
2016-04-06,55.00
2016-04-07,53.00
2016-04-08,52.00
2016-04-09,59.00
2016-04-10,55.00
2016-04-11,55.00
2016-04-12,65.00
2016-04-13,66.00
2016-04-14,65.00
2016-04-15,65.00
2016-04-16,57.00
2016-04-17,55.00
2016-04-18,55.00
2016-04-19,45.00
2016-04-20,45.00
2016-04-21,55.00
2016-04-22,55.00
2016-04-23,58.00
2016-04-24,55.00
2016-04-25,55.00
2016-04-26,65.00
2016-04-27,65.00
2016-04-28,66.00
2016-04-29,75.00
2016-04-30,67.00
2016-05-01,65.00
2016-05-02,65.00
2016-05-03,55.00
2016-05-04,55.00
2016-05-05,65.00
2016-05-06,70.00
2016-05-07,70.00
2016-05-08,75.00
2016-05-09,65.00
2016-05-10,75.00
2016-05-11,65.00
2016-05-12,55.00
2016-05-13,65.00
2016-05-14,67.00
2016-05-15,65.00
2016-05-16,65.00
2016-05-17,55.00
2016-05-18,55.00
2016-05-19,65.00
2016-05-20,55.00
2016-05-21,54.00
2016-05-22,75.00
2016-05-23,65.00
2016-05-24,66.00
2016-05-25,55.00
2016-05-26,55.00
2016-05-27,55.00
2016-05-28,56.00
2016-05-29,55.00
2016-05-30,65.00
2016-05-31,65.00
2016-06-01,55.00
2016-06-02,65.00
2016-06-03,64.00
2016-06-04,64.00
2016-06-05,65.00
2016-06-06,55.00
2016-06-07,55.00
2016-06-08,45.00
2016-06-09,55.00
2016-06-10,55.00
2016-06-11,46.00
2016-06-12,55.00
2016-06-13,54.00
2016-06-14,51.00
2016-06-15,46.00
2016-06-16,38.00
2016-06-17,33.00
2016-06-18,30.00
2016-06-19,18.00
2016-06-20,18.00
2016-06-21,22.00
2016-06-22,25.00
2016-06-23,22.00
2016-06-24,33.00
2016-06-25,45.00
2016-06-26,38.00
2016-06-27,38.00
2016-06-28,35.00
2016-06-29,35.00
2016-06-30,35.00
2016-07-01,35.00
2016-07-02,48.00
2016-07-03,45.00
2016-07-04,46.00
2016-07-05,45.00
2016-07-06,45.00
2016-07-07,45.00
2016-07-08,45.00
2016-07-09,46.00
2016-07-10,55.00
2016-07-11,65.00
2016-07-12,75.00
2016-07-13,75.00
2016-07-14,75.00
2016-07-15,78.00
2016-07-16,77.00
2016-07-17,72.00
2016-07-18,72.00
2016-07-19,65.00
2016-07-20,65.00
2016-07-21,55.00
2016-07-22,55.00
2016-07-23,58.00
2016-07-24,55.00
2016-07-25,55.00
2016-07-26,65.00
2016-07-27,68.00
2016-07-28,55.00
2016-07-29,65.00
2016-07-30,68.00
2016-07-31,55.00
2016-08-01,55.00
2016-08-02,55.00
2016-08-03,58.00
2016-08-04,58.00
2016-08-05,58.00
2016-08-06,58.00
2016-08-07,52.00
2016-08-08,52.00
2016-08-09,52.00
2016-08-10,52.00
2016-08-11,55.00
2016-08-12,52.00
2016-08-13,55.00
2016-08-14,52.00
2016-08-15,52.00
2016-08-16,52.00
2016-08-17,52.00
2016-08-18,52.00
2016-08-19,58.00
2016-08-20,57.00
2016-08-21,48.00
2016-08-22,52.00
2016-08-23,52.00
2016-08-24,48.00
2016-08-25,50.00
2016-08-26,52.00
2016-08-27,71.00
2016-08-28,58.00
2016-08-29,56.00
2016-08-30,63.00
2016-08-31,72.00
2016-09-01,72.00
2016-09-02,85.00
2016-09-03,76.00
2016-09-04,65.00
2016-09-05,62.00
2016-09-06,65.00
2016-09-07,65.00
2016-09-08,68.00
2016-09-09,65.00
2016-09-10,57.00
2016-09-11,115.00
2016-09-12,68.00
2016-09-13,95.00
2016-09-14,68.00
2016-09-15,76.00
2016-09-16,85.00
2016-09-17,85.00
2016-09-18,85.00
2016-09-19,82.00
2016-09-20,78.00
2016-09-21,78.00
2016-09-22,85.00
2016-09-23,85.00
2016-09-24,88.00
2016-09-25,105.00
2016-09-26,85.00
2016-09-27,62.00
2016-09-28,78.00
2016-09-29,78.00
2016-09-30,78.00
2016-10-01,78.00
2016-10-02,68.00
2016-10-03,72.00
2016-10-04,72.00
2016-10-05,78.00
2016-10-06,76.00
2016-10-07,78.00
2016-10-08,82.00
2016-10-09,78.00
2016-10-10,78.00
2016-10-11,82.00
2016-10-12,78.00
2016-10-13,55.00
2016-10-14,68.00
2016-10-15,68.00
2016-10-16,58.00
2016-10-17,65.00
2016-10-18,55.00
2016-10-19,55.00
2016-10-20,52.00
2016-10-21,55.00
2016-10-22,55.00
2016-10-23,65.00
2016-10-24,55.00
2016-10-25,55.00
2016-10-26,65.00
2016-10-27,65.00
2016-10-28,72.00
2016-10-29,74.00
2016-10-30,105.00
2016-10-31,75.00
2016-11-01,105.00
2016-11-02,135.00
2016-11-03,116.00
2016-11-04,97.00
2016-11-05,85.00
2016-11-06,86.00
2016-11-07,85.00
2016-11-08,85.00
2016-11-09,85.00
2016-11-10,85.00
2016-11-11,85.00
2016-11-12,84.00
2016-11-13,85.00
2016-11-14,75.00
2016-11-15,75.00
2016-11-16,75.00
2016-11-17,65.00
2016-11-18,65.00
2016-11-19,63.00
2016-11-20,65.00
2016-11-21,55.00
2016-11-22,56.00
2016-11-23,55.00
2016-11-24,55.00
2016-11-25,55.00
2016-11-26,45.00
2016-11-27,45.00
2016-11-28,45.00
2016-11-29,40.00
2016-11-30,38.00
2016-12-01,35.00
2016-12-02,35.00
2016-12-03,34.00
2016-12-04,35.00
2016-12-05,35.00
2016-12-06,28.00
2016-12-07,35.00
2016-12-08,35.00
2016-12-09,35.00
2016-12-10,40.00
2016-12-11,42.00
2016-12-12,42.00
2016-12-13,42.00
2016-12-14,42.00
2016-12-15,38.00
2016-12-16,40.00
2016-12-17,38.00
2016-12-18,42.00
2016-12-19,38.00
2016-12-20,38.00
2016-12-21,38.00
2016-12-22,38.00
2016-12-23,35.00
2016-12-24,30.00
2016-12-25,33.00
2016-12-26,28.00
2016-12-27,18.00
2016-12-28,19.00
2016-12-29,19.00
2016-12-30,19.00
2016-12-31,19.00
2017-01-01,19.00
2017-01-02,18.00
2017-01-03,19.00
2017-01-04,19.00
2017-01-05,19.00
2017-01-06,19.00
2017-01-07,20.00
2017-01-08,19.00
2017-01-09,19.00
2017-01-10,25.00
2017-01-11,27.00
2017-01-12,22.00
2017-01-13,22.00
2017-01-14,23.00
2017-01-15,28.00
2017-01-16,33.00
2017-01-17,38.00
2017-01-18,45.00
2017-01-19,33.00
2017-01-20,33.00
2017-01-21,32.00
2017-01-22,33.00
2017-01-23,33.00
2017-01-24,33.00
2017-01-25,33.00
2017-01-26,33.00
2017-01-27,34.00
2017-01-28,43.00
2017-01-29,37.00
2017-01-30,33.00
2017-01-31,28.00
2017-02-01,22.00
2017-02-02,28.00
2017-02-03,28.00
2017-02-04,26.00
2017-02-05,18.00
2017-02-06,18.00
2017-02-07,18.00
2017-02-08,18.00
2017-02-09,18.00
2017-02-10,18.00
2017-02-11,18.00
2017-02-12,18.00
2017-02-13,18.00
2017-02-14,18.00
2017-02-15,18.00
2017-02-16,18.00
2017-02-17,18.00
2017-02-18,18.00
2017-02-19,18.00
2017-02-20,18.00
2017-02-21,18.00
2017-02-22,18.00
2017-02-23,18.00
2017-02-25,18.00
2017-02-26,18.00
2017-02-27,18.00
2017-02-28,18.00
2017-03-01,18.00
2017-03-02,18.00
2017-03-04,17.00
2017-03-05,18.00
2017-03-06,12.00
2017-03-07,12.00
2017-03-08,12.00
2017-03-09,18.00
2017-03-10,22.00
2017-03-11,23.00
2017-03-13,33.00
2017-03-14,32.00
2017-03-15,33.00
2017-03-16,19.00
2017-03-17,22.00
2017-03-18,26.00
2017-03-19,22.00
2017-03-20,22.00
2017-03-21,22.00
2017-03-22,22.00
2017-03-23,22.00
2017-03-24,22.00
2017-03-25,23.00
2017-03-26,22.00
2017-03-27,19.00
2017-03-28,20.00
2017-03-29,20.00
2017-03-30,22.00
2017-03-31,22.00
2017-04-01,22.00
2017-04-02,22.00
2017-04-03,22.00
2017-04-04,22.00
2017-04-05,18.00
2017-04-06,22.00
2017-04-07,22.00
2017-04-08,22.00
2017-04-09,22.00
2017-04-10,22.00
2017-04-11,23.00
2017-04-12,22.00
2017-04-13,28.00
2017-04-14,36.00
2017-04-15,34.00
2017-04-16,33.00
2017-04-17,35.00
2017-04-18,28.00
2017-04-19,33.00
2017-04-20,28.00
2017-04-21,28.00
2017-04-22,33.00
2017-04-23,28.00
2017-04-24,33.00
2017-04-25,33.00
2017-04-26,32.00
2017-04-27,38.00
2017-04-28,38.00
2017-04-29,39.00
2017-04-30,42.00
2017-05-01,42.00
2017-05-02,42.00
2017-05-03,48.00
2017-05-04,42.00
2017-05-05,38.00
2017-05-06,38.00
2017-05-07,42.00
2017-05-08,42.00
2017-05-09,42.00
2017-05-10,43.00
2017-05-11,48.00
2017-05-12,48.00
2017-05-13,48.00
2017-05-15,48.00
2017-05-16,48.00
2017-05-17,56.00
2017-05-18,38.00
2017-05-19,38.00
2017-05-20,38.00
2017-05-21,38.00
2017-05-22,48.00
2017-05-23,48.00
2017-05-24,52.00
2017-05-25,52.00
2017-05-26,48.00
2017-05-27,52.00
2017-05-28,48.00
2017-05-29,48.00
2017-05-30,48.00
2017-05-31,48.00
2017-06-01,48.00
2017-06-02,48.00
2017-06-03,48.00
2017-06-04,48.00
2017-06-05,52.00
2017-06-06,52.00
2017-06-07,52.00
2017-06-08,52.00
2017-06-09,58.00
2017-06-10,58.00
2017-06-11,62.00
2017-06-12,62.00
2017-06-13,63.00
2017-06-14,63.00
2017-06-15,51.00
2017-06-16,56.00
2017-06-17,56.00
2017-06-18,62.00
2017-06-19,62.00
2017-06-20,78.00
2017-06-21,72.00
2017-06-22,78.00
2017-06-23,78.00
2017-06-24,78.00
2017-06-25,78.00
2017-06-26,75.00
2017-06-27,72.00
2017-06-28,72.00
2017-06-29,68.00
2017-06-30,72.00
2017-07-01,78.00
2017-07-02,78.00
2017-07-03,68.00
2017-07-04,68.00
2017-07-05,68.00
2017-07-06,68.00
2017-07-07,52.00
2017-07-08,52.00
2017-07-09,52.00
2017-07-10,52.00
2017-07-11,62.00
2017-07-12,58.00
2017-07-13,58.00
2017-07-14,58.00
2017-07-15,52.00
2017-07-16,52.00
2017-07-17,52.00
2017-07-18,52.00
2017-07-19,62.00
2017-07-20,52.00
2017-07-21,52.00
2017-07-22,54.00
2017-07-23,62.00
2017-07-24,62.00
2017-07-25,52.00
2017-07-26,48.00
2017-07-27,48.00
2017-07-28,58.00
2017-07-29,59.00
2017-07-30,62.00
2017-07-31,62.00
2017-08-01,52.00
2017-08-02,47.00
2017-08-03,52.00
2017-08-04,52.00
2017-08-05,52.00
2017-08-06,55.00
2017-08-07,52.00
2017-08-08,57.00
2017-08-09,58.00
2017-08-10,52.00
2017-08-11,58.00
2017-08-12,59.00
2017-08-13,58.00
2017-08-14,58.00
2017-08-15,52.00
2017-08-16,52.00
2017-08-17,58.00
2017-08-18,78.00
2017-08-19,78.00
2017-08-20,72.00
2017-08-21,82.00
2017-08-22,98.00
2017-08-23,98.00
2017-08-24,82.00
2017-08-25,98.00
2017-08-26,98.00
2017-08-27,78.00
2017-08-28,78.00
2017-08-29,78.00
2017-08-30,78.00
2017-08-31,78.00
2017-09-01,78.00
2017-09-02,78.00
2017-09-03,72.00
2017-09-04,78.00
2017-09-05,78.00
2017-09-06,78.00
2017-09-07,68.00
2017-09-08,78.00
2017-09-09,78.00
2017-09-10,78.00
2017-09-11,78.00
2017-09-12,78.00
2017-09-13,78.00
2017-09-14,78.00
2017-09-15,78.00
2017-09-16,78.00
2017-09-17,78.00
2017-09-18,78.00
2017-09-20,62.00
2017-09-21,60.00
2017-09-22,82.00
2017-09-23,60.00
2017-09-24,72.00
2017-09-25,62.00
2017-09-26,68.00
2017-09-27,72.00
2017-09-28,78.00
2017-09-29,78.00
2017-09-30,78.00
2017-10-01,78.00
2017-10-02,62.00
2017-10-03,55.00
2017-10-04,52.00
2017-10-05,48.00
2017-10-06,48.00
2017-10-07,48.00
2017-10-08,58.00
2017-10-09,52.00
2017-10-10,58.00
2017-10-11,62.00
2017-10-12,62.00
2017-10-13,62.00
2017-10-14,62.00
2017-10-15,58.00
2017-10-16,62.00
2017-10-17,78.00
2017-10-18,78.00
2017-10-19,78.00
2017-10-20,72.00
2017-10-21,155.00
2017-10-22,135.00
2017-10-23,105.00
2017-10-24,78.00
2017-10-25,72.00
2017-10-26,62.00
2017-10-27,62.00
2017-10-28,58.00
2017-10-29,82.00
2017-10-30,92.00
2017-10-31,92.00
2017-11-01,105.00
2017-11-02,92.00
2017-11-03,92.00
2017-11-04,93.00
2017-11-05,92.00
2017-11-06,65.00
2017-11-07,78.00
2017-11-08,72.00
2017-11-09,72.00
2017-11-10,71.00
2017-11-11,68.00
2017-11-12,73.00
2017-11-13,72.00
2017-11-14,72.00
2017-11-15,68.00
2017-11-16,62.00
2017-11-17,58.00
2017-11-18,58.00
2017-11-19,55.00
2017-11-20,52.00
2017-11-21,48.00
2017-11-22,47.00
2017-11-23,52.00
2017-11-24,52.00
2017-11-25,52.00
2017-11-26,58.00
2017-11-27,45.00
2017-11-28,46.00
2017-11-29,38.00
2017-11-30,38.00
2017-12-01,38.00
2017-12-02,38.00
2017-12-03,38.00
2017-12-04,42.00
2017-12-05,42.00
2017-12-06,38.00
2017-12-08,38.00
2017-12-09,38.00
2017-12-10,38.00
2017-12-11,38.00
2017-12-12,28.00
2017-12-13,22.00
2017-12-14,19.00
2017-12-15,19.00
2017-12-16,30.00
2017-12-17,23.00
2017-12-18,22.00
2017-12-19,22.00
2017-12-20,19.00
2017-12-27,22.00
2017-12-28,22.00
2017-12-29,22.00
2017-12-30,23.00
2017-12-31,22.00
2018-01-01,22.00
2018-01-02,28.00
2018-01-03,28.00
2018-01-04,28.00
2018-01-05,28.00
2018-01-06,25.00
2018-01-07,22.00
2018-01-08,22.00
2018-01-09,22.00
2018-01-10,42.00
2018-01-11,48.00
2018-01-12,42.00
2018-01-13,49.00
2018-01-14,48.00
2018-01-16,42.00
2018-01-17,48.00
2018-01-18,48.00
2018-01-19,42.00
2018-01-20,44.00
2018-01-21,38.00
2018-01-22,38.00
2018-01-23,38.00
2018-01-24,38.00
2018-01-25,42.00
2018-01-26,38.00
2018-01-27,33.00
2018-01-28,33.00
2018-01-29,38.00
2018-01-30,33.00
2018-01-31,33.00
2018-02-01,33.00
2018-02-02,33.00
2018-02-03,33.00
2018-02-04,38.00
2018-02-05,48.00
2018-02-06,48.00
2018-02-07,48.00
2018-02-08,48.00
2018-02-09,38.00
2018-02-10,43.00
2018-02-11,48.00
2018-02-12,52.00
2018-02-13,48.00
2018-02-14,52.00
2018-02-15,48.00
2018-02-16,43.00
2018-02-17,48.00
2018-02-18,38.00
2018-02-19,38.00
2018-02-20,38.00
2018-02-21,38.00
2018-02-22,38.00
2018-02-23,33.00
2018-02-24,33.00
2018-02-25,28.00
2018-02-26,38.00
2018-02-27,33.00
2018-02-28,29.00
2018-03-01,29.00
2018-03-02,33.00
2018-03-03,28.00
2018-03-05,28.00
2018-03-06,28.00
2018-03-07,22.00
2018-03-08,22.00
2018-03-09,28.00
2018-03-10,45.00
2018-03-11,38.00
2018-03-12,23.00
2018-03-13,31.00
2018-03-14,33.00
2018-03-15,38.00
2018-03-16,38.00
2018-03-17,43.00
2018-03-18,42.00
2018-03-19,38.00
2018-03-20,42.00
2018-03-21,48.00
2018-03-22,45.00
2018-03-23,48.00
2018-03-24,53.00
2018-03-25,48.00
2018-03-26,48.00
2018-03-27,52.00
2018-03-28,52.00
2018-03-29,52.00
2018-03-30,52.00
2018-03-31,48.00
2018-04-01,48.00
2018-04-02,48.00
2018-04-03,52.00
2018-04-04,62.00
2018-04-05,62.00
2018-04-06,58.00
2018-04-07,53.00
2018-04-08,58.00
2018-04-09,58.00
2018-04-10,52.00
2018-04-11,52.00
2018-04-12,52.00
2018-04-13,53.00
2018-04-14,53.00
2018-04-15,52.00
2018-04-16,53.00
2018-04-17,62.00
2018-04-18,52.00
2018-04-19,52.00
2018-04-20,52.00
2018-04-21,53.00
2018-04-22,42.00
2018-04-23,42.00
2018-04-24,38.00
2018-04-25,38.00
2018-04-26,42.00
2018-04-27,48.00
2018-04-28,48.00
2018-04-29,42.00
2018-04-30,48.00
2018-05-01,48.00
2018-05-02,38.00
2018-05-03,38.00
2018-05-04,38.00
2018-05-05,38.00
2018-05-06,38.00
2018-05-07,33.00
2018-05-08,38.00
2018-05-09,33.00
2018-05-10,33.00
2018-05-11,33.00
2018-05-12,38.00
2018-05-13,28.00
2018-05-14,28.00
2018-05-15,38.00
2018-05-16,28.00
2018-05-17,28.00
2018-05-18,28.00
2018-05-19,28.00
2018-05-20,28.00
2018-05-21,28.00
2018-05-22,28.00
2018-05-23,30.00
2018-05-24,33.00
2018-05-25,33.00
2018-05-26,28.00
2018-05-27,38.00
2018-05-28,42.00
2018-05-29,52.00
2018-05-30,52.00
2018-05-31,52.00
2018-06-01,58.00
2018-06-02,58.00
2018-06-03,58.00
2018-06-04,33.00
2018-06-05,59.00
2018-06-06,67.00
2018-06-07,78.00
2018-06-08,68.00
2018-06-09,68.00
2018-06-10,68.00
2018-06-11,62.00
2018-06-12,77.00
2018-06-13,78.00
2018-06-14,78.00
2018-06-15,78.00
2018-06-16,78.00
2018-06-17,78.00
2018-06-18,78.00
2018-06-19,78.00
2018-06-20,78.00
2018-06-21,98.00
2018-06-22,88.00
2018-06-23,88.00
2018-06-24,88.00
2018-06-25,78.00
2018-06-26,72.00
2018-06-27,58.00
2018-06-28,58.00
2018-06-29,62.00
2018-06-30,58.00
2018-07-01,58.00
2018-07-02,58.00
2018-07-03,98.00
2018-07-04,48.00
2018-07-05,42.00
2018-07-06,48.00
2018-07-07,38.00
2018-07-08,38.00
2018-07-09,42.00
2018-07-10,48.00
2018-07-11,42.00
